,Total Active & Inactive,Active,,,,,,,,,,Inactive,,,,,,,,,
,,Asian,American Indian,Black,Federally-Registered (may be of any race),Hispanic,Korean,White,Other,Not Identified,Total Active,Asian,American Indian,Black,Federally-Registered (may be of any race),Hispanic,Korean,White,Other,Not Identified,Total Inactive
TOTAL," 3,326,812 "," 18,134 "," 9,812 "," 775,671 "," 1,981 "," 26,146 ", 38 ," 2,112,431 "," 24,244 "," 11,119 "," 2,979,576 "," 2,237 "," 1,545 "," 109,496 ", 200 ," 3,882 ", 6 ," 223,146 "," 5,437 "," 1,287 "," 347,236 "
AUTAUGA," 38,162 ", 209 , 96 ," 6,312 ",, 235 ,," 26,677 ", 301 , 182 ," 34,012 ", 32 , 22 , 918 ,, 48 ,," 3,009 ", 81 , 40 ," 4,150 "
BALDWIN," 146,682 ", 537 , 657 ," 10,025 ", 2 ," 1,377 ",," 118,554 "," 1,159 ", 322 ," 132,633 ", 53 , 96 ," 1,188 ",, 206 ,," 12,258 ", 224 , 24 ," 14,049 "
BARBOUR," 16,747 ", 38 , 28 ," 6,963 ",, 70 ,," 7,702 ", 49 , 24 ," 14,874 ", 7 , 3 , 859 ,, 10 ,, 982 , 9 , 3 ," 1,873 "
BIBB," 13,663 ", 8 , 20 ," 2,184 ", 1 , 31 ,," 10,045 ", 31 , 5 ," 12,325 ", 2 , 4 , 325 ,, 5 ,, 994 , 8 ,," 1,338 "
BLOUNT," 37,951 ", 60 , 105 , 450 , 2 , 692 , 1 ," 33,193 ", 174 , 43 ," 34,720 ", 6 , 13 , 58 ,, 51 ,," 3,049 ", 46 , 8 ," 3,231 "
BULLOCK," 7,422 ", 15 , 6 ," 5,062 ",, 12 ,," 1,518 ", 13 , 6 ," 6,632 ", 2 , 3 , 610 ,, 1 ,, 170 , 3 , 1 , 790 
BUTLER," 13,488 ", 27 , 17 ," 5,267 ",, 26 ,," 6,917 ", 40 , 10 ," 12,304 ", 2 , 4 , 577 ,, 9 ,, 583 , 7 , 2 ," 1,184 "
CALHOUN," 73,754 ", 358 , 178 ," 12,827 ", 2 , 586 ,," 50,709 ", 563 , 309 ," 65,532 ", 40 , 30 ," 2,333 ",, 98 ,," 5,539 ", 124 , 58 ," 8,222 "
CHAMBERS," 23,511 ", 73 , 26 ," 8,354 ",, 58 ,," 12,569 ", 104 , 87 ," 21,271 ", 16 , 6 , 941 ,, 5 , 1 ," 1,239 ", 19 , 13 ," 2,240 "
CHEROKEE," 17,074 ", 19 , 39 , 715 ,, 48 ,," 14,897 ", 3 ,," 15,721 ", 6 , 4 , 74 ,, 3 ,," 1,266 ",,," 1,353 "
CHILTON," 28,202 ", 41 , 34 ," 2,612 ", 3 , 234 ,," 21,835 ", 138 , 66 ," 24,963 ", 5 , 8 , 404 , 1 , 30 ,," 2,755 ", 30 , 6 ," 3,239 "
CHOCTAW," 10,573 ", 8 , 2 ," 4,073 ", 1 , 5 ,," 5,202 ", 8 , 9 ," 9,308 ", 1 , 1 , 661 ,, 1 ,, 598 , 2 , 1 ," 1,265 "
CLARKE," 19,061 ", 36 , 34 ," 7,607 ", 1 , 33 ,," 9,387 ", 51 , 27 ," 17,176 ", 2 , 4 , 833 ,, 15 ,," 1,014 ", 12 , 5 ," 1,885 "
CLAY," 9,797 ", 19 , 23 ," 1,307 ",, 60 ,," 7,590 ", 35 , 9 ," 9,043 ",, 5 , 186 ,, 15 ,, 542 , 5 , 1 , 754 
CLEBURNE," 10,487 ", 12 , 14 , 312 ,, 36 ,," 8,556 ", 7 , 12 ," 8,949 ", 1 , 1 , 61 ,, 1 ,," 1,470 ", 3 , 1 ," 1,538 "
COFFEE," 32,805 ", 175 , 124 ," 4,719 ",, 633 , 1 ," 22,360 ", 639 , 163 ," 28,814 ", 29 , 12 , 808 ,, 123 , 1 ," 2,825 ", 164 , 29 ," 3,991 "
COLBERT," 39,217 ", 88 , 91 ," 5,842 ",, 184 , 2 ," 28,877 ", 446 , 97 ," 35,627 ", 19 , 11 , 669 ,, 29 ,," 2,792 ", 61 , 9 ," 3,590 "
CONECUH," 10,280 ", 31 , 17 ," 4,017 ",, 21 ,," 4,788 ", 42 , 13 ," 8,929 ", 5 , 8 , 673 , 1 , 5 ,, 647 , 7 , 5 ," 1,351 "
COOSA," 7,997 ", 7 , 26 ," 2,238 ",, 10 ,," 4,904 ", 18 , 9 ," 7,212 ", 1 , 3 , 307 ,, 2 ,, 465 , 7 ,, 785 
COVINGTON," 25,705 ", 59 , 61 ," 2,629 ",, 86 ,," 19,629 ", 95 , 42 ," 22,601 ", 12 , 14 , 449 ,, 22 ,," 2,576 ", 26 , 5 ," 3,104 "
CRENSHAW," 9,890 ", 19 , 31 ," 2,123 ",, 30 ,," 6,461 ", 28 , 13 ," 8,705 ", 1 , 4 , 299 ,, 2 ,, 873 , 5 , 1 ," 1,185 "
CULLMAN," 56,080 ", 147 , 107 , 467 , 4 , 326 ,," 49,761 ", 138 , 72 ," 51,022 ", 14 , 18 , 67 , 1 , 47 ,," 4,877 ", 29 , 5 ," 5,058 "
DALE," 31,463 ", 143 , 87 ," 5,487 ",, 444 , 1 ," 20,629 ", 488 , 96 ," 27,375 ", 23 , 18 , 966 , 1 , 112 ,," 2,810 ", 146 , 12 ," 4,088 "
DALLAS," 31,291 ", 91 , 17 ," 19,059 ",, 26 ,," 8,176 ", 100 , 41 ," 27,510 ", 16 , 1 ," 2,686 ",, 17 ,," 1,027 ", 30 , 4 ," 3,781 "
DEKALB," 40,502 ", 77 , 323 , 635 , 1 , 866 ,," 34,801 ", 250 , 67 ," 37,020 ", 3 , 32 , 89 ,, 45 ,," 3,279 ", 27 , 7 ," 3,482 "
ELMORE," 54,352 ", 196 , 156 ," 9,014 ", 2 , 321 ,," 39,605 ", 304 , 221 ," 49,819 ", 23 , 24 , 978 ,, 43 ,," 3,374 ", 66 , 25 ," 4,533 "
ESCAMBIA," 24,627 ", 46 , 526 ," 6,362 ",, 93 ,," 14,880 ", 110 , 33 ," 22,050 ", 10 , 54 , 849 ,, 17 ,," 1,613 ", 33 , 1 ," 2,577 "
ETOWAH," 69,627 ", 274 , 144 ," 9,369 ",, 461 ,," 52,902 ", 219 , 217 ," 63,586 ", 24 , 21 ," 1,336 ",, 73 ,," 4,521 ", 40 , 26 ," 6,041 "
FAYETTE," 12,201 ", 10 , 11 ," 1,300 ",, 34 ,," 9,688 ", 55 , 19 ," 11,117 ", 5 , 1 , 152 ,, 7 ,, 908 , 9 , 2 ," 1,084 "
FRANKLIN," 18,018 ", 14 , 41 , 687 , 6 , 536 ,," 15,601 ", 57 , 42 ," 16,984 ",, 4 , 65 ,, 34 ,, 922 , 6 , 3 ," 1,034 "
GENEVA," 18,060 ", 18 , 103 ," 1,491 ",, 155 ,," 14,455 ", 45 , 20 ," 16,287 ", 4 , 18 , 214 ,, 30 ,," 1,493 ", 14 ,," 1,773 "
GREENE," 7,079 ", 2 , 4 ," 5,162 ",, 14 ,," 1,095 ", 15 , 16 ," 6,308 ", 1 , 2 , 659 ,,,, 109 ,,, 771 
HALE," 12,153 ", 15 , 20 ," 6,390 ",, 13 ,," 4,297 ", 42 , 9 ," 10,786 ", 3 , 3 , 802 ,, 6 , 1 , 546 , 5 , 1 ," 1,367 "
HENRY," 12,628 ", 19 , 28 ," 3,306 ",, 58 ,," 8,090 ", 36 , 14 ," 11,551 ", 1 , 1 , 324 ,, 10 ,, 730 , 11 ,," 1,077 "
HOUSTON," 70,801 ", 297 , 148 ," 14,526 ", 3 , 522 , 1 ," 44,944 ", 367 , 340 ," 61,148 ", 55 , 44 ," 3,145 ", 2 , 132 ,," 6,142 ", 92 , 41 ," 9,653 "
JACKSON," 36,714 ", 83 , 393 ," 1,137 ", 1 , 196 ,," 31,097 ", 57 , 71 ," 33,035 ", 11 , 50 , 147 ,, 24 ,," 3,427 ", 9 , 11 ," 3,679 "
JEFFERSON," 463,717 "," 3,187 ", 567 ," 170,314 "," 1,916 "," 3,080 ", 2 ," 233,817 "," 3,267 "," 1,681 "," 417,831 ", 428 , 96 ," 21,088 ", 184 , 460 ,," 22,866 ", 663 , 101 ," 45,886 "
LAMAR," 10,643 ", 2 , 6 ," 1,046 ",, 25 ,," 8,120 ", 13 , 8 ," 9,220 ",, 1 , 198 ,, 8 ,," 1,209 ", 3 , 4 ," 1,423 "
LAUDERDALE," 61,487 ", 162 , 127 ," 5,117 ", 1 , 351 ,," 48,645 ", 259 , 188 ," 54,850 ", 28 , 28 ," 1,019 ",, 50 ,," 5,424 ", 64 , 24 ," 6,637 "
