,Total Active & Inactive,Active,,,,,,,,,,Inactive,,,,,,,,,
LAWRENCE," 23,695 ", 25 , 677 ," 2,732 ",, 100 ,," 17,879 ", 234 , 43 ," 21,690 ", 1 , 96 , 290 ,, 9 ,," 1,566 ", 41 , 2 ," 2,005 "
LEE," 104,889 "," 1,081 ", 186 ," 21,331 ", 4 ," 1,084 ", 14 ," 65,665 "," 1,391 ", 776 ," 91,532 ", 146 , 43 ," 3,107 ",, 229 , 1 ," 9,372 ", 333 , 126 ," 13,357 "
LIMESTONE," 59,341 ", 394 , 202 ," 6,801 ", 2 , 767 , 5 ," 46,348 ", 560 , 306 ," 55,385 ", 28 , 22 , 554 ,, 72 ,," 3,179 ", 76 , 25 ," 3,956 "
LOWNDES," 10,171 ", 12 , 6 ," 6,681 ",, 11 ,," 2,225 ", 18 , 12 ," 8,965 ", 1 , 1 , 957 ,, 4 ,, 234 , 8 , 1 ," 1,206 "
MACON," 17,407 ", 31 , 14 ," 12,552 ", 1 , 25 , 1 ," 2,079 ", 145 , 19 ," 14,867 ", 3 ,," 2,215 ", 1 , 10 ,, 279 , 29 , 3 ," 2,540 "
MADISON," 253,825 "," 3,491 "," 1,087 "," 52,001 ",," 3,520 ",," 158,959 "," 3,286 "," 1,364 "," 223,708 ", 447 , 187 ," 10,382 ",, 595 ,," 17,572 ", 799 , 135 ," 30,117 "
MARENGO," 16,039 ", 19 , 8 ," 7,429 ",, 32 ,," 6,718 ", 23 , 6 ," 14,235 ", 2 , 3 ," 1,030 ",, 2 ,, 759 , 7 , 1 ," 1,804 "
MARION," 20,268 ", 40 , 41 , 532 ,, 96 ,," 17,121 ", 39 , 40 ," 17,909 ", 7 , 5 , 108 ,, 11 ,," 2,216 ", 7 , 5 ," 2,359 "
MARSHALL," 56,764 ", 148 , 175 , 791 , 1 ," 1,110 ", 3 ," 49,092 ", 227 , 173 ," 51,720 ", 15 , 24 , 94 , 1 , 87 ,," 4,765 ", 37 , 21 ," 5,044 "
MOBILE," 286,761 "," 2,040 ", 833 ," 89,713 ", 6 ," 1,668 ",," 156,955 "," 2,717 ", 861 ," 254,793 ", 198 , 119 ," 11,810 ", 1 , 253 ,," 18,764 ", 708 , 115 ," 31,968 "
MONROE," 16,099 ", 40 , 71 ," 5,952 ",, 22 ,," 7,829 ", 48 , 9 ," 13,971 ", 5 , 16 , 947 ,, 8 ,," 1,141 ", 11 ,," 2,128 "
MONTGOMERY," 151,376 "," 1,343 ", 169 ," 76,284 ", 8 , 865 , 1 ," 54,231 "," 1,013 ", 777 ," 134,691 ", 145 , 31 ," 11,172 ", 3 , 126 ,," 4,889 ", 226 , 93 ," 16,685 "
MORGAN," 76,419 ", 266 , 367 ," 8,169 ", 1 ," 1,087 ", 1 ," 60,174 ", 413 , 167 ," 70,645 ", 24 , 55 , 914 , 1 , 97 ,," 4,614 ", 57 , 12 ," 5,774 "
PERRY," 8,160 ", 11 , 12 ," 5,289 ",, 9 ,," 1,944 ", 14 , 3 ," 7,282 ", 3 , 1 , 647 ,, 3 ,, 213 , 9 , 2 , 878 
PICKENS," 13,731 ", 25 , 8 ," 5,313 ",, 18 ,," 7,032 ", 45 , 34 ," 12,475 ", 3 , 2 , 578 ,, 2 ,, 656 , 8 , 7 ," 1,256 "
PIKE," 21,940 ", 60 , 79 ," 6,980 ",, 78 ,," 11,466 ", 91 , 47 ," 18,801 ", 20 , 23 ," 1,462 ", 1 , 26 ,," 1,555 ", 43 , 9 ," 3,139 "
RANDOLPH," 16,673 ", 28 , 20 ," 2,822 ", 1 , 66 ,," 11,733 ", 68 , 27 ," 14,765 ",, 4 , 424 ,, 11 ,," 1,455 ", 8 , 6 ," 1,908 "
RUSSELL," 36,616 ", 151 , 58 ," 14,538 ", 1 , 540 , 2 ," 15,982 ", 429 , 210 ," 31,911 ", 33 , 19 ," 2,080 ",, 115 ,," 2,309 ", 106 , 43 ," 4,705 "
SHELBY," 143,360 "," 1,182 ", 200 ," 14,447 ",," 1,584 ",," 111,841 "," 1,369 ", 637 ," 131,260 ", 110 , 33 ," 1,662 ",, 149 ,," 9,810 ", 279 , 57 ," 12,100 "
ST_CLAIR," 59,263 ", 209 , 94 ," 4,393 ",, 271 ,," 49,584 ", 316 , 98 ," 54,965 ", 17 , 12 , 392 ,, 28 ,," 3,806 ", 38 , 5 ," 4,298 "
SUMTER," 9,922 ", 8 , 9 ," 6,350 ",, 7 ,," 1,972 ", 22 , 9 ," 8,377 ", 4 , 2 ," 1,226 ",, 8 ,, 297 , 7 , 1 ," 1,545 "
TALLADEGA," 53,142 ", 135 , 79 ," 16,037 ", 6 , 145 ,," 31,790 ", 260 , 105 ," 48,557 ", 15 , 13 ," 1,626 ", 1 , 27 ,," 2,839 ", 48 , 16 ," 4,585 "
TALLAPOOSA," 29,768 ", 54 , 54 ," 6,793 ",, 89 ,," 19,673 ", 84 , 38 ," 26,785 ", 10 , 12 , 871 , 1 , 17 ,," 2,056 ", 14 , 2 ," 2,983 "
TUSCALOOSA," 132,157 ", 574 , 178 ," 33,974 ", 2 , 749 , 2 ," 78,102 "," 1,248 ", 640 ," 115,469 ", 92 , 37 ," 5,103 ",, 152 , 2 ," 10,817 ", 375 , 110 ," 16,688 "
WALKER," 46,862 ", 87 , 61 ," 2,587 ", 1 , 137 ,," 38,583 ", 343 , 86 ," 41,885 ", 6 , 7 , 459 ,, 32 ,," 4,411 ", 53 , 9 ," 4,977 "
WASHINGTON," 13,126 ", 12 , 637 ," 2,816 ",, 22 ,," 8,151 ", 27 , 7 ," 11,672 ", 3 , 100 , 411 ,, 4 ,, 923 , 12 , 1 ," 1,454 "
WILCOX," 9,301 ", 18 , 13 ," 5,815 ", 1 , 4 ,," 2,209 ", 16 , 2 ," 8,078 ", 7 ,, 951 ,,,, 261 , 4 ,," 1,223 "
WINSTON," 15,826 ", 28 , 37 , 42 ,, 52 , 1 ," 14,121 ", 32 , 20 ," 14,333 ", 1 , 6 , 7 ,, 9 ,," 1,465 ", 4 , 1 ," 1,493 "
